pair,left_level,right_level,games,left_wins,right_wins,draws,left_score_rate,right_score_rate,draw_rate,avg_plies,avg_game_ms,left_as_white_score_rate,left_as_black_score_rate,reasons
1-2,1,2,20,8,12,0,0.4000,0.6000,0.0000,104.00,7097.35,0.4000,0.4000,"checkmate:20"
1-3,1,3,20,3,17,0,0.1500,0.8500,0.0000,86.55,7303.30,0.2000,0.1000,"checkmate:20"
1-4,1,4,20,4,16,0,0.2000,0.8000,0.0000,91.90,8857.10,0.0000,0.4000,"checkmate:20"
1-5,1,5,20,0,20,0,0.0000,1.0000,0.0000,66.80,11537.15,0.0000,0.0000,"checkmate:20"
1-6,1,6,20,0,20,0,0.0000,1.0000,0.0000,65.10,18622.45,0.0000,0.0000,"checkmate:20"
1-7,1,7,20,0,20,0,0.0000,1.0000,0.0000,61.80,32251.85,0.0000,0.0000,"checkmate:20"
2-3,2,3,20,6,14,0,0.3000,0.7000,0.0000,113.10,10094.70,0.4000,0.2000,"checkmate:20"
2-4,2,4,20,2,18,0,0.1000,0.9000,0.0000,99.20,10151.75,0.1000,0.1000,"checkmate:20"
2-5,2,5,20,0,19,1,0.0250,0.9750,0.0500,74.55,13419.65,0.0500,0.0000,"checkmate:19; threefold-repetition:1"
2-6,2,6,20,0,20,0,0.0000,1.0000,0.0000,71.40,20927.15,0.0000,0.0000,"checkmate:20"
2-7,2,7,20,0,20,0,0.0000,1.0000,0.0000,69.30,36014.25,0.0000,0.0000,"checkmate:20"
3-4,3,4,20,5,15,0,0.2500,0.7500,0.0000,109.85,13060.35,0.2000,0.3000,"checkmate:20"
3-5,3,5,20,0,17,3,0.0750,0.9250,0.1500,95.95,18880.90,0.0500,0.1000,"checkmate:17; insufficient-material:1; threefold-repetition:1; max-plies-limit:1"
3-6,3,6,20,0,20,0,0.0000,1.0000,0.0000,84.20,26352.45,0.0000,0.0000,"checkmate:20"
3-7,3,7,20,0,20,0,0.0000,1.0000,0.0000,82.30,44170.25,0.0000,0.0000,"checkmate:20"
4-5,4,5,20,0,19,1,0.0250,0.9750,0.0500,92.25,19177.65,0.0500,0.0000,"checkmate:19; threefold-repetition:1"
4-6,4,6,20,0,19,1,0.0250,0.9750,0.0500,87.45,28379.30,0.0000,0.0500,"checkmate:19; threefold-repetition:1"
4-7,4,7,20,0,20,0,0.0000,1.0000,0.0000,87.20,47880.00,0.0000,0.0000,"checkmate:20"
5-6,5,6,20,0,14,6,0.1500,0.8500,0.3000,138.55,55345.60,0.1500,0.1500,"checkmate:14; threefold-repetition:3; insufficient-material:1; max-plies-limit:2"
5-7,5,7,20,0,14,6,0.1500,0.8500,0.3000,130.35,81861.50,0.1500,0.1500,"checkmate:14; threefold-repetition:5; fifty-move-rule:1"
6-7,6,7,20,1,11,8,0.2500,0.7500,0.4000,133.85,100089.40,0.4500,0.0500,"threefold-repetition:5; insufficient-material:2; checkmate:12; max-plies-limit:1"
